grandMediansOut,grandLeaguesOut
32,1
36,1
32,1
68,1
56,1
44,1
36,1
56,1
44,1
24,1
32,1
56,1
40,1
52,1
56,1
34,1
44,1
52,1
44,1
44,1
56,1
44,1
56,1
64,1
48,1
36,1
32,1
32,1
36,1
44,1
32,1
56,1
28,1
56,1
32,1
44,1
44,1
36,1
44,1
44,1
32,1
56,1
48,1
48,1
48,1
36,1
100,1
68,1
56,1
44,1
32,1
66,1
32,1
48,1
32,1
44,1
32,1
32,1
36,1
44,1
24,1
56,1
48,1
36,1
44,1
44,1
40,1
44,1
32,1
62,1
44,1
48,1
32,1
68,1
44,1
56,1
32,1
32,1
36,1
44,1
56,1
48,1
56,1
44,1
40,1
44,1
32,1
32,1
32,1
40,1
36,1
32,1
48,1
44,1
48,1
44,1
48,1
64,1
56,1
36,1
56,1
44,1
24,1
48,1
36,1
56,1
32,1
56,1
88,1
68,1
56,1
36,1
36,1
24,1
56,1
36,1
32,1
68,1
32,1
44,1
48,1
32,1
68,1
60,1
40,1
44,1
44,1
80,1
32,1
44,1
60,1
32,1
24,1
36,1
36,1
56,1
44,1
44,1
44,1
36,1
44,1
44,1
68,1
56,1
32,1
56,1
44,1
48,1
68,1
56,1
32,1
56,1
36,1
36,1
60,1
48,1
56,1
62,1
56,1
44,1
44,1
48,1
36,1
34,1
44,1
68,1
32,1
44,2
32,2
36,2
68,2
44,2
32,2
44,2
32,2
36,2
44,2
44,2
88,2
44,2
44,2
48,2
32,2
36,2
44,2
36,2
68,2
52,2
36,2
44,2
32,2
56,2
72,2
56,2
44,2
32,2
44,2
24,2
44,2
80,2
36,2
44,2
36,2
56,2
44,2
32,2
24,2
36,2
36,2
68,2
44,2
56,2
56,2
56,2
56,2
56,2
24,2
44,2
32,2
48,2
56,2
36,2
44,2
36,2
50,2
44,2
36,2
64,2
32,2
48,2
56,2
44,2
56,2
44,2
32,2
48,2
44,2
44,2
44,2
36,2
44,2
44,2
32,2
44,2
32,2
36,2
32,2
48,2
48,2
44,2
44,2
44,2
44,2
32,2
68,2
36,2
28,2
32,2
56,2
44,2
36,2
36,2
44,2
44,2
56,2
32,2
32,2
32,2
56,2
48,2
48,2
48,2
44,2
44,2
44,2
56,2
44,2
32,2
32,2
44,2
44,2
52,2
24,2
36,2
44,2
78,2
56,2
56,2
36,2
72,2
32,2
32,2
80,2
40,2
68,2
56,2
56,2
44,2
68,2
36,2
32,2
56,2
44,2
36,2
44,2
76,2
48,2
32,2
56,2
36,2
44,2
56,2
64,2
48,2
56,2
32,2
56,2
32,2
36,2
32,2
56,2
64,2
56,2
56,2
44,2
44,2
48,2
56,2
44,2
48,2
44,2
44,2
24,2
44,2
48,2
56,2
24,2
46,2
68,2
44,2
44,2
44,2
56,2
44,2
56,2
24,2
36,2
44,2
44,2
32,2
44,2
56,2
32,2
44,2
32,2
32,2
44,2
32,2
56,2
68,2
32,2
48,2
44,2
44,2
44,2
44,2
44,2
32,2
56,2
32,2
48,2
44,2
56,2
44,2
100,2
48,2
32,2
32,2
32,2
24,2
44,2
56,2
64,2
44,2
44,2
44,2
32,2
36,2
56,2
32,2
36,2
56,2
32,2
24,2
44,2
44,2
44,2
32,2
24,2
56,2
52,2
44,2
44,2
58,2
36,2
44,2
46,2
44,2
32,2
32,2
32,2
44,2
56,2
36,2
32,2
36,2
76,2
36,2
32,2
32,2
24,2
32,2
32,2
24,2
44,2
36,2
36,2
44,2
36,2
48,2
44,2
44,2
36,2
56,2
32,2
32,2
36,2
32,2
44,2
36,2
32,2
36,2
44,2
36,2
36,2
44,2
36,2
36,2
44,2
56,2
56,2
48,2
44,2
24,2
44,2
48,2
24,2
56,2
32,2
24,2
32,2
44,2
56,2
24,2
24,2
32,2
24,2
56,2
32,2
48,2
44,2
44,2
68,2
56,2
56,2
56,2
76,2
44,2
56,2
44,2
36,2
44,2
44,2
44,2
44,2
48,2
44,2
56,2
44,2
90,2
36,2
36,2
56,2
36,2
36,2
48,2
44,2
62,2
48,2
36,2
44,2
44,2
44,2
32,2
76,2
56,2
32,2
24,2
44,2
56,2
32,2
32,2
68,2
32,2
56,3
76,3
36,3
32,3
68,3
56,3
32,3
36,3
48,3
44,3
56,3
32,3
44,3
44,3
56,3
36,3
56,3
68,3
44,3
44,3
44,3
24,3
64,3
56,3
32,3
44,3
56,3
44,3
36,3
32,3
56,3
44,3
48,3
44,3
36,3
44,3
24,3
36,3
36,3
48,3
56,3
32,3
56,3
44,3
44,3
36,3
56,3
32,3
44,3
44,3
44,3
44,3
36,3
32,3
44,3
44,3
56,3
44,3
56,3
44,3
32,3
36,3
36,3
56,3
56,3
44,3
36,3
44,3
56,3
44,3
56,3
64,3
36,3
32,3
44,3
32,3
56,3
46,3
56,3
48,3
44,3
50,3
24,3
32,3
36,3
36,3
24,3
44,3
36,3
52,3
36,3
32,3
32,3
36,3
36,3
32,3
48,3
44,3
36,3
44,3
36,3
44,3
24,3
32,3
58,3
32,3
44,3
36,3
32,3
48,3
36,3
56,3
56,3
32,3
36,3
44,3
36,3
32,3
56,3
34,3
32,3
44,3
40,3
44,3
44,3
36,3
32,3
32,3
24,3
44,3
48,3
34,3
44,3
32,3
56,3
36,3
32,3
44,3
36,3
44,3
44,3
32,3
48,3
44,3
44,3
48,3
44,3
68,3
32,3
28,3
32,3
32,3
44,3
56,3
44,3
44,3
68,3
44,3
56,3
32,3
32,3
56,3
48,3
24,3
32,3
56,3
44,3
44,3
44,3
32,3
56,3
36,3
80,3
56,3
36,3
44,3
44,3
44,3
44,3
56,3
36,3
40,3
56,3
32,3
68,3
24,3
48,3
48,3
32,3
56,3
44,3
44,3
44,3
68,3
36,3
44,3
56,3
36,3
44,3
44,3
44,3
46,3
36,3
32,3
36,3
44,3
36,3
48,3
44,3
56,3
48,3
36,3
36,3
56,3
48,3
44,3
32,3
44,3
72,3
32,3
56,3
44,3
32,3
32,3
36,3
66,3
48,3
44,3
44,3
32,3
32,3
56,3
68,3
24,3
36,3
44,3
36,3
44,3
44,3
48,3
32,3
56,3
44,3
32,3
56,3
56,3
56,3
52,3
44,3
44,3
36,3
44,3
32,3
44,3
32,3
48,3
32,3
44,3
48,3
32,3
36,3
56,3
36,3
78,3
36,3
32,3
44,3
44,3
44,3
44,3
48,3
56,3
56,3
44,3
44,3
36,3
36,3
62,3
36,3
44,3
56,3
44,3
48,3
56,3
36,3
36,3
56,3
36,3
44,3
32,3
44,3
44,3
32,3
32,3
32,3
32,3
32,3
