grandMediansOut,grandLeaguesOut
244,1
456,1
148,1
260,1
180,1
192,1
292,1
204,1
230,1
268,1
284,1
292,1
214,1
248,1
304,1
256,1
204,1
192,1
192,1
192,1
472,1
392,1
460,1
212,1
160,1
192,1
168,1
160,1
304,1
224,1
204,1
188,1
596,1
260,1
224,1
298,1
172,1
236,1
224,1
148,1
192,1
248,1
160,1
160,1
228,1
160,1
354,1
292,1
272,1
270,1
200,1
274,1
248,1
404,1
324,1
268,1
316,1
212,1
188,1
224,1
304,1
248,1
338,1
204,1
200,1
224,1
248,1
316,1
216,1
348,1
212,1
276,1
228,1
252,1
380,1
192,1
136,1
228,1
360,1
204,1
192,1
236,1
202,1
312,1
176,1
200,1
144,1
148,1
212,1
292,1
266,1
100,1
282,1
204,1
168,1
204,1
216,1
216,1
304,1
132,1
272,1
248,1
168,1
224,1
168,1
280,1
214,1
240,1
472,1
204,1
280,1
248,1
236,1
272,1
204,1
170,1
292,1
168,1
184,1
132,1
200,1
236,1
204,1
296,1
284,1
242,1
180,1
372,1
204,1
236,1
312,1
180,1
316,1
380,1
224,1
228,1
268,1
272,1
224,1
392,1
136,1
124,1
280,1
224,1
208,1
212,1
144,1
304,1
260,1
148,1
338,1
256,1
276,1
136,1
284,1
168,1
200,1
240,1
270,1
452,1
248,1
190,1
264,1
296,1
328,1
348,1
260,1
136,2
192,2
236,2
366,2
180,2
328,2
180,2
192,2
180,2
224,2
112,2
428,2
236,2
216,2
148,2
240,2
192,2
224,2
510,2
228,2
226,2
376,2
156,2
232,2
202,2
224,2
196,2
112,2
168,2
204,2
180,2
156,2
248,2
224,2
228,2
148,2
248,2
204,2
284,2
172,2
180,2
224,2
272,2
180,2
192,2
160,2
248,2
248,2
236,2
192,2
144,2
268,2
204,2
204,2
158,2
148,2
260,2
188,2
188,2
236,2
272,2
182,2
242,2
282,2
136,2
236,2
216,2
248,2
182,2
148,2
236,2
156,2
160,2
260,2
372,2
214,2
180,2
404,2
248,2
224,2
220,2
180,2
224,2
256,2
224,2
224,2
280,2
328,2
204,2
224,2
136,2
216,2
180,2
230,2
212,2
136,2
212,2
192,2
280,2
180,2
180,2
216,2
280,2
192,2
228,2
246,2
224,2
174,2
192,2
180,2
190,2
204,2
202,2
286,2
248,2
310,2
292,2
192,2
260,2
310,2
394,2
284,2
272,2
136,2
236,2
248,2
192,2
204,2
236,2
220,2
260,2
372,2
200,2
252,2
300,2
148,2
148,2
236,2
300,2
168,2
136,2
190,2
180,2
204,2
160,2
304,2
292,2
204,2
204,2
192,2
192,2
204,2
172,2
400,2
370,2
304,2
220,2
248,2
236,2
136,2
212,2
330,2
226,2
156,2
148,2
192,2
180,2
180,2
180,2
336,2
204,2
212,2
212,2
228,2
180,2
200,2
216,2
180,2
236,2
136,2
236,2
256,2
212,2
172,2
224,2
212,2
210,2
200,2
160,2
152,2
216,2
236,2
204,2
216,2
148,2
236,2
168,2
148,2
148,2
324,2
248,2
224,2
212,2
192,2
180,2
204,2
236,2
218,2
136,2
204,2
180,2
168,2
168,2
236,2
204,2
340,2
242,2
180,2
208,2
192,2
224,2
216,2
212,2
232,2
204,2
168,2
314,2
280,2
204,2
168,2
214,2
216,2
236,2
180,2
192,2
258,2
170,2
192,2
136,2
230,2
328,2
172,2
144,2
324,2
212,2
148,2
236,2
200,2
246,2
252,2
148,2
112,2
112,2
124,2
236,2
192,2
218,2
192,2
156,2
124,2
136,2
200,2
184,2
124,2
144,2
180,2
304,2
218,2
160,2
180,2
180,2
220,2
156,2
268,2
180,2
236,2
192,2
136,2
180,2
316,2
192,2
124,2
404,2
260,2
332,2
332,2
140,2
222,2
168,2
180,2
216,2
188,2
214,2
144,2
180,2
324,2
192,2
202,2
304,2
160,2
136,2
180,2
180,2
188,2
124,2
360,2
344,2
212,2
212,2
252,2
100,2
200,2
236,2
192,2
144,2
372,2
204,2
180,2
260,2
156,2
248,2
148,2
212,2
268,2
186,2
248,2
180,2
160,2
160,2
208,2
1048,2
224,2
188,2
252,2
252,2
192,2
204,2
280,2
192,2
198,2
216,2
248,2
216,2
248,2
148,2
260,2
338,2
186,3
216,3
192,3
228,3
180,3
204,3
148,3
242,3
168,3
180,3
224,3
180,3
244,3
180,3
144,3
158,3
168,3
216,3
192,3
200,3
148,3
152,3
180,3
132,3
268,3
212,3
266,3
168,3
156,3
180,3
212,3
146,3
204,3
148,3
236,3
148,3
180,3
174,3
184,3
144,3
230,3
220,3
404,3
200,3
316,3
202,3
260,3
180,3
200,3
188,3
224,3
180,3
148,3
156,3
180,3
172,3
156,3
202,3
252,3
252,3
242,3
200,3
168,3
148,3
168,3
192,3
228,3
144,3
172,3
236,3
136,3
356,3
112,3
170,3
192,3
180,3
156,3
208,3
256,3
216,3
180,3
236,3
240,3
204,3
156,3
168,3
144,3
156,3
204,3
208,3
224,3
180,3
428,3
168,3
248,3
196,3
168,3
168,3
140,3
192,3
116,3
180,3
216,3
208,3
180,3
238,3
180,3
132,3
180,3
224,3
192,3
192,3
204,3
192,3
248,3
180,3
328,3
204,3
192,3
236,3
180,3
260,3
148,3
188,3
134,3
136,3
208,3
268,3
204,3
136,3
260,3
192,3
92,3
116,3
192,3
136,3
320,3
168,3
180,3
136,3
112,3
136,3
192,3
144,3
144,3
200,3
136,3
236,3
164,3
224,3
212,3
192,3
136,3
148,3
160,3
140,3
304,3
156,3
248,3
170,3
160,3
236,3
208,3
180,3
236,3
200,3
156,3
224,3
148,3
156,3
286,3
168,3
310,3
316,3
180,3
164,3
172,3
192,3
212,3
216,3
192,3
224,3
302,3
180,3
216,3
136,3
168,3
254,3
220,3
248,3
216,3
156,3
156,3
180,3
214,3
200,3
168,3
204,3
168,3
270,3
230,3
204,3
168,3
292,3
200,3
204,3
168,3
124,3
136,3
180,3
148,3
204,3
180,3
228,3
160,3
304,3
192,3
180,3
192,3
192,3
200,3
248,3
180,3
324,3
172,3
224,3
408,3
136,3
180,3
236,3
224,3
224,3
352,3
144,3
192,3
216,3
128,3
192,3
168,3
136,3
200,3
192,3
136,3
192,3
180,3
148,3
236,3
216,3
152,3
204,3
132,3
192,3
204,3
224,3
212,3
180,3
136,3
224,3
168,3
136,3
236,3
156,3
272,3
340,3
144,3
192,3
160,3
136,3
200,3
156,3
168,3
148,3
228,3
200,3
136,3
144,3
156,3
280,3
148,3
136,3
156,3
124,3
180,3
212,3
180,3
204,3
188,3
180,3
180,3
160,3
192,3
144,3
144,3
180,3
148,3
276,3
156,3
180,3
248,3
158,3
136,3
216,3
168,3
156,3
248,3
280,3
156,3
172,3
238,3
236,3
132,3
156,3
148,3
192,3
136,3
180,3
192,3
180,3
156,3
116,3
168,3
212,3
246,3
112,3
112,3
180,3
180,3
204,3
236,3
248,3
180,3
224,3
156,3
264,3
156,3
192,3
268,3
252,3
192,3
