"","gameid","X.x","LeagueIdx.x","HKselCount","X.y","LeagueIdx.y","selCount","ratioRec"
"1",1,1,5,335,1,5,694,0.482708933717579
"2",2,2,6,324,2,6,535,0.605607476635514
"3",5,3,4,315,3,4,514,0.61284046692607
"4",7,4,4,160,4,4,461,0.3470715835141
"5",8,5,5,134,5,5,644,0.208074534161491
"6",9,6,6,626,6,6,802,0.780548628428928
"7",10,7,1,456,7,1,249,1.83132530120482
"8",11,8,1,21,8,1,141,0.148936170212766
"9",14,9,5,103,9,5,113,0.911504424778761
"10",15,10,5,445,10,5,265,1.67924528301887
"11",16,11,4,125,11,4,386,0.323834196891192
"12",17,12,3,88,12,3,251,0.350597609561753
"13",20,13,2,269,13,2,616,0.436688311688312
"14",21,14,2,281,14,2,126,2.23015873015873
"15",22,15,2,73,15,2,399,0.182957393483709
"16",23,16,4,19,16,4,55,0.345454545454545
"17",24,17,2,36,17,2,105,0.342857142857143
"18",25,18,5,836,18,5,1230,0.679674796747967
"19",28,19,3,22,19,3,178,0.123595505617978
"20",30,20,4,190,20,4,234,0.811965811965812
"21",32,21,4,36,21,4,133,0.270676691729323
"22",33,22,3,256,22,3,554,0.462093862815884
"23",34,23,4,332,23,4,229,1.44978165938865
"24",38,24,5,471,24,5,1081,0.435707678075856
"25",39,25,4,226,25,4,533,0.424015009380863
"26",40,26,4,59,26,4,241,0.244813278008299
"27",41,27,4,201,27,4,131,1.53435114503817
"28",42,28,5,398,28,5,255,1.56078431372549
"29",44,29,5,71,29,5,112,0.633928571428571
"30",45,30,2,112,30,2,266,0.421052631578947
"31",47,31,5,298,32,5,733,0.406548431105048
"32",48,32,5,249,33,5,459,0.542483660130719
"33",49,33,2,117,34,2,243,0.481481481481481
"34",52,34,3,74,35,3,253,0.292490118577075
"35",53,35,2,40,36,2,399,0.100250626566416
"36",54,36,3,75,37,3,304,0.246710526315789
"37",57,37,6,173,38,6,285,0.607017543859649
"38",58,38,5,370,39,5,714,0.518207282913165
"39",59,39,4,295,40,4,251,1.17529880478088
"40",60,40,4,99,41,4,116,0.853448275862069
"41",62,41,4,24,42,4,193,0.124352331606218
"42",63,42,4,346,43,4,153,2.26143790849673
"43",65,43,4,80,44,4,281,0.284697508896797
"44",66,44,4,34,45,4,365,0.0931506849315069
"45",67,45,6,151,46,6,999,0.151151151151151
"46",68,46,2,18,47,2,414,0.0434782608695652
"47",69,47,1,130,48,1,99,1.31313131313131
"48",71,48,3,90,49,3,283,0.318021201413428
"49",72,49,5,63,50,5,220,0.286363636363636
"50",74,50,4,111,51,4,439,0.252847380410023
"51",76,51,1,272,52,1,210,1.2952380952381
"52",77,52,4,202,53,4,422,0.478672985781991
"53",79,53,3,6,54,3,356,0.0168539325842697
"54",81,54,3,8,55,3,203,0.0394088669950739
"55",83,55,2,10,56,2,87,0.114942528735632
"56",85,56,2,26,57,2,74,0.351351351351351
"57",86,57,6,236,58,6,615,0.383739837398374
"58",87,58,4,203,59,4,576,0.352430555555556
"59",88,59,6,338,60,6,976,0.346311475409836
"60",89,60,4,173,61,4,698,0.24785100286533
"61",91,61,1,18,62,1,189,0.0952380952380952
"62",92,62,5,41,63,5,301,0.136212624584718
"63",93,63,4,79,64,4,192,0.411458333333333
"64",94,64,2,81,65,2,214,0.378504672897196
"65",95,65,6,982,66,6,753,1.30411686586985
"66",96,66,5,503,67,5,208,2.41826923076923
"67",97,67,4,250,68,4,237,1.05485232067511
"68",100,68,3,251,69,3,264,0.950757575757576
"69",101,69,5,5,70,5,94,0.0531914893617021
"70",106,70,4,160,71,4,263,0.608365019011407
"71",107,71,4,191,72,4,401,0.476309226932668
