,gameid,LeagueIdx,selCount
1,1,5,694
2,2,6,535
3,5,4,514
4,7,4,461
5,8,5,644
6,9,6,802
7,10,1,249
8,11,1,141
9,14,5,113
10,15,5,265
11,16,4,386
12,17,3,251
13,20,2,616
14,21,2,126
15,22,2,399
16,23,4,55
17,24,2,105
18,25,5,1230
19,28,3,178
20,30,4,234
21,32,4,133
22,33,3,554
23,34,4,229
24,38,5,1081
25,39,4,533
26,40,4,241
27,41,4,131
28,42,5,255
29,44,5,112
30,45,2,266
31,46,1,99
32,47,5,733
33,48,5,459
34,49,2,243
35,52,3,253
36,53,2,399
37,54,3,304
38,57,6,285
39,58,5,714
40,59,4,251
41,60,4,116
42,62,4,193
43,63,4,153
44,65,4,281
45,66,4,365
46,67,6,999
47,68,2,414
48,69,1,99
49,71,3,283
50,72,5,220
51,74,4,439
52,76,1,210
53,77,4,422
54,79,3,356
55,81,3,203
56,83,2,87
57,85,2,74
58,86,6,615
59,87,4,576
60,88,6,976
61,89,4,698
62,91,1,189
63,92,5,301
64,93,4,192
65,94,2,214
66,95,6,753
67,96,5,208
68,97,4,237
69,100,3,264
70,101,5,94
71,106,4,263
72,107,4,401
73,109,4,200
74,110,6,310
75,111,2,255
76,114,6,235
77,116,1,59
78,117,2,52
79,118,3,264
80,119,2,149
81,121,3,304
82,122,3,284
83,123,3,142
84,125,3,154
85,126,6,201
86,127,1,207
87,128,4,323
88,129,6,307
89,130,3,551
90,132,3,513
91,133,5,474
92,135,6,341
93,136,6,444
94,137,4,134
95,138,3,204
96,140,4,316
97,141,5,196
98,142,5,533
99,143,2,464
100,144,6,903
101,145,3,205
102,147,5,336
103,150,6,472
104,151,6,312
105,152,4,497
106,153,4,441
107,154,3,648
108,155,6,317
109,156,1,371
110,157,4,142
111,158,2,150
112,159,4,211
113,161,6,94
114,162,4,551
115,163,2,215
116,164,2,144
117,165,4,345
118,166,4,454
119,167,5,159
120,169,4,430
121,171,6,408
122,172,2,154
123,173,5,539
124,174,4,492
125,175,1,428
126,176,3,255
127,177,4,401
128,178,5,258
129,179,5,382
130,180,5,390
131,181,1,193
132,182,6,312
133,184,4,553
134,185,6,1183
135,187,5,401
136,189,6,576
137,190,5,1192
138,191,4,130
139,192,2,213
140,193,1,222
141,194,2,126
142,196,3,364
143,197,5,668
144,198,6,417
145,199,2,96
146,200,3,300
147,201,6,264
148,202,2,57
149,203,5,496
150,204,5,499
151,205,2,128
152,208,3,592
153,209,5,155
154,210,5,349
155,211,5,673
156,212,5,670
157,213,3,1266
158,214,4,226
159,216,6,257
160,217,3,236
161,218,5,445
162,220,4,321
163,221,4,300
164,222,4,1001
165,223,5,497
166,224,5,304
167,225,4,430
168,226,4,119
169,227,2,563
170,229,5,440
171,231,6,341
172,232,6,486
173,233,1,198
174,236,4,367
175,237,5,772
176,241,7,696
177,242,6,246
178,244,5,315
179,245,1,258
180,248,6,95
181,249,3,221
182,250,2,235
183,251,4,475
184,252,4,349
185,253,5,546
186,254,4,760
187,256,3,193
188,257,5,342
189,258,3,144
190,259,6,259
191,260,2,504
192,261,5,274
193,262,4,171
194,263,4,120
195,264,5,233
196,266,6,920
197,267,5,357
198,268,5,559
199,269,3,713
200,270,6,505
201,271,5,467
202,273,4,237
203,274,4,102
204,275,4,609
205,276,6,412
206,277,5,173
207,279,6,389
208,280,4,752
209,281,4,410
210,282,6,724
211,284,5,592
212,285,4,237
213,286,5,281
214,287,6,634
215,288,6,2144
216,290,6,449
217,291,5,211
218,292,4,617
219,293,5,60
220,294,4,355
221,295,5,137
222,297,3,537
223,298,5,567
224,299,4,163
225,300,6,232
226,301,1,153
227,302,2,216
228,303,5,834
229,304,3,181
230,305,4,748
231,306,6,158
232,308,3,354
233,310,4,340
234,311,3,257
235,312,1,154
236,313,1,213
237,314,5,192
238,315,5,312
239,316,3,989
240,317,4,649
241,318,3,240
242,319,2,644
243,321,4,225
244,322,6,543
245,324,5,497
246,325,3,134
247,326,4,844
248,327,5,787
249,328,3,362
250,329,3,152
251,330,5,487
252,331,6,649
253,333,1,157
254,335,4,1235
255,336,5,616
256,341,1,267
257,342,6,136
258,343,5,409
259,344,6,310
260,347,4,253
261,348,6,322
262,349,5,232
263,350,6,495
264,351,4,531
265,354,4,277
266,355,3,167
267,356,1,155
268,357,4,232
269,358,6,461
270,360,5,617
271,361,3,180
272,362,6,607
273,363,3,193
274,364,6,141
275,365,4,338
276,367,5,146
277,368,5,361
278,369,4,282
279,370,1,96
280,371,5,313
281,372,2,142
282,373,2,483
283,374,1,226
284,377,4,303
285,378,5,748
286,379,4,270
287,383,5,104
288,385,4,124
289,386,4,689
290,387,3,195
291,388,4,574
292,389,5,1376
293,390,3,161
294,391,4,184
295,392,4,309
296,393,6,664
297,394,4,627
298,395,6,164
299,396,4,410
300,399,3,275
301,400,6,461
302,401,5,516
303,403,3,81
304,404,5,481
305,405,2,359
306,406,5,187
307,409,5,431
308,410,5,536
309,411,6,121
310,412,5,536
311,413,4,622
312,415,6,219
313,416,4,370
314,417,3,235
315,418,5,183
316,419,4,217
317,423,4,132
318,425,2,292
319,426,2,378
320,427,3,646
321,428,4,198
322,429,2,243
323,431,3,174
324,432,5,260
325,433,5,811
326,434,2,302
327,435,3,342
328,436,6,185
329,437,1,202
330,438,1,200
331,441,1,221
332,446,3,198
333,447,4,218
334,450,3,803
335,451,5,448
336,453,1,314
337,454,4,657
338,455,6,555
339,457,4,785
340,458,6,419
341,459,2,611
342,460,5,540
343,461,6,378
344,462,5,317
345,463,5,129
346,464,2,461
347,466,5,224
348,467,2,338
349,470,4,833
350,471,3,258
351,472,2,261
352,475,5,215
353,476,1,464
354,477,3,392
355,478,2,405
356,479,4,296
357,480,5,572
358,481,6,257
359,482,5,500
360,483,3,347
361,485,5,285
362,486,4,158
363,487,3,264
364,488,5,392
365,489,4,392
366,490,3,268
367,493,5,569
368,494,5,588
369,495,6,152
370,497,4,131
371,498,6,288
372,499,6,389
373,502,3,373
374,505,3,397
375,506,5,145
376,510,2,93
377,511,3,76
378,512,4,246
379,513,4,327
380,515,6,371
381,516,2,276
382,517,4,276
383,519,7,512
384,521,5,441
385,522,5,346
386,523,6,632
387,524,5,167
388,528,3,203
389,531,2,582
390,532,1,327
391,533,5,179
392,536,5,334
393,538,5,322
394,539,4,522
395,542,7,704
396,543,6,486
397,546,6,204
398,548,4,467
399,549,3,188
400,550,5,460
401,551,5,295
402,552,4,256
403,553,4,245
404,554,4,375
405,555,5,485
406,556,1,304
407,558,5,393
408,560,5,281
409,563,2,437
410,564,6,331
411,565,4,313
412,566,7,405
413,567,3,321
414,568,4,393
415,569,4,235
416,570,5,653
417,571,3,284
418,572,4,508
419,573,4,83
420,574,6,102
421,576,1,417
422,578,3,409
423,580,4,358
424,581,3,503
425,582,5,241
426,583,5,393
427,587,5,590
428,589,3,505
429,590,3,183
430,592,5,771
431,593,3,477
432,594,4,193
433,595,6,333
434,599,2,128
435,601,4,402
436,602,6,640
437,604,3,382
438,605,5,608
439,607,2,257
440,608,2,232
441,610,3,333
442,611,6,451
443,612,4,256
444,613,4,147
445,615,4,376
446,617,5,706
447,618,5,59
448,619,1,227
449,622,5,272
450,624,5,327
451,625,4,586
452,626,7,446
453,628,6,157
454,629,2,820
455,630,5,248
456,632,6,157
457,633,5,395
458,634,2,218
459,637,4,38
460,639,6,309
461,640,2,358
462,641,6,282
463,643,3,329
464,644,2,271
465,645,5,390
466,646,4,673
467,647,2,517
468,648,2,520
469,649,6,755
470,650,1,248
471,651,4,281
472,652,3,341
473,653,2,218
474,654,4,128
475,656,5,493
476,657,5,640
477,658,3,690
478,659,4,84
479,660,6,396
480,662,2,677
481,664,5,395
482,666,4,268
483,667,5,157
484,669,4,799
485,670,6,403
486,672,3,116
487,674,4,376
488,675,6,745
489,676,5,897
490,677,4,382
491,678,5,340
492,679,2,39
493,680,5,429
494,681,5,783
495,684,5,416
496,685,5,169
497,686,3,315
498,687,5,275
499,688,5,382
500,689,6,552
501,690,5,118
502,691,5,189
503,692,5,357
504,694,2,323
505,696,4,519
506,697,5,264
507,700,4,461
508,702,3,200
509,704,3,582
510,705,3,101
511,706,4,624
512,707,5,253
513,709,4,531
514,710,2,264
515,711,4,349
516,712,3,337
517,714,4,355
518,715,6,579
519,717,5,454
520,718,6,378
521,719,3,688
522,720,5,275
523,721,6,318
524,723,4,352
525,725,5,236
526,727,3,429
527,728,4,476
528,729,3,318
529,730,5,672
530,732,6,376
531,735,4,327
532,736,5,658
533,737,6,1010
534,738,5,362
535,739,3,226
536,740,4,213
537,741,4,313
538,742,4,109
539,743,6,452
540,744,6,810
541,745,3,252
542,746,5,304
543,747,5,358
544,748,5,399
545,749,5,162
