pacdurationsmean,fixdurationmean,FAL,NVC,BAL,leagueidx,MiniMapAttack,MiniMapRC,MiniMapAbilities
176.2322,140.7246,44.3483,17.5161,26.8322,5,4.3571,2.3571,0
165.2619,130.3729,38.9648,13.2004,25.7644,6,0.56522,2.0435,0.47826
274.2118,178.2839,78.0997,23.617,54.4827,4,0.13953,0.48837,0
194.0506,146.1909,56.7848,18.4941,38.2907,4,0.69231,2.6154,0.23077
269.1339,191.839,57.1024,3.4875,53.6148,5,1.3636,2.6364,0
173.7667,144.2097,44.0695,21.902,22.1675,6,0.21429,1.0714,0.14286
383.0298,196,95.0809,28.4496,66.6313,1,0.15,0.35,0.4
592.6133,379.5231,138.7733,-11.5008,150.2741,1,0,0.22222,0
297.2403,204.3192,63.6279,13.9717,49.6562,5,0,1.25,0
195.7727,153.1542,55.2955,24.0186,31.2769,5,0.066667,0.6,0
254.7056,192.8619,55.9576,11.1408,44.8168,4,0,1.85,0
282.5077,202.1722,79.1538,19.4967,59.6572,3,0.1875,1.6875,0
222.8066,150.2768,68.518,28.0838,40.4342,2,0.20588,3.2059,0.20588
261.8082,188,68.1096,23.2042,44.9054,2,0,0.25,0
299.2727,189.2557,85.7841,14.0258,71.7583,2,0.73913,0,0
705.76,518.3684,92.48,-4.1091,96.5891,4,0.14286,0.42857,0
603.1875,455.6854,97.0625,25.3787,71.6838,2,0,1.5714,0
204.5575,171.1233,39.1239,13.3553,25.7686,5,0.94737,8.2105,0.052632
338.1899,258.7752,89.9218,42.0653,47.8565,3,0.58333,1.8333,0
253.004,209.6391,50.6883,0.76954,49.9187,4,0.23077,0.076923,0
330.4444,229.2137,76.1389,7.0304,69.1085,4,0.1,0.8,0
285.4472,203.1552,76.0163,28.6191,47.3972,3,0.26667,0.33333,0
293.3858,227.0083,63.0079,19.8192,43.1887,4,0.13333,2.3333,0
148.9258,123.0332,35.6726,4.6766,30.996,5,0,0.52,0
294.3385,228.8889,70.1846,37.6457,32.5389,4,0.125,2.1875,0
266.8807,199.4356,62.1835,14.3692,47.8143,4,0.75,1.5,0.25
222.3394,183.3491,61.6318,14.8817,46.75,4,1.7692,3.4615,0
169.9619,120.8154,53.074,17.445,35.629,5,0.052632,0.73684,0.15789
286.4368,223.8992,56.4138,13.1918,43.222,5,0.2,5.8,0
248.5146,173.3568,73.2398,27.3627,45.877,2,0.055556,1.6667,0
306.439,174.1846,87.6423,15.1206,72.5217,1,0,0.5,0
270.0641,225.0926,57.7259,20.5748,37.1512,5,0.47368,2.8947,0
245.33,207.5875,47.8114,18.2293,29.5821,5,1.1,0.75,0
439.4612,247.7541,117.6163,37.8624,79.7539,2,0.26087,2.2174,0.26087
340.338,226.8786,76.0188,2.491,73.5278,3,0,0.66667,0
277.5792,201.5828,67.1584,24.5474,42.611,2,0.12,2.48,0.4
290.7799,216.8142,81.9923,14.955,67.0373,3,0,1.25,0.1875
264.2865,177.4421,60.3747,24.0157,36.359,6,0.047619,2,0
189.8506,145.1707,53.0795,19.5227,33.5568,5,0.88235,1.6471,0
253.5571,182.0225,70.0571,25.2967,44.7604,4,0,0.86667,0
257.4922,200.5153,85.6995,32.9306,52.7689,4,1.3636,1.9091,0
388.8092,267.69,80.6474,36.4991,44.1483,4,0.076923,2.1538,0
246.9614,154.7963,68,23.337,44.663,4,0.125,1,0
305.0085,230.2722,72.5299,26.5825,45.9474,4,0.21429,0.85714,0
206.618,138.5429,60.0681,16.5226,43.5455,4,0.42105,2.4211,0
181.6494,138.7831,40.9023,7.1275,33.7748,6,1.3333,0.81481,0.55556
380.7151,229.8018,80.6257,13.9877,66.638,2,0,0.57143,0
354.1477,257.841,109.3691,33.783,75.5861,1,0,0.45455,0
301.1534,220.4303,77.2393,26.0312,51.208,3,0.14286,0.2381,0
255.9316,196.9268,71.2479,43.3857,27.8622,5,0,8.6667,0.16667
247.8508,154.0916,79.1474,42.7713,36.3762,4,0.21212,0.39394,0.12121
289.1621,188.412,82.5321,31.6626,50.8695,1,0.30435,1.1304,0.26087
283.4504,185.8317,78.458,37.0498,41.4082,4,0.055556,0.83333,0
232.0771,150.1882,54.6506,13.1964,41.4542,3,0.047619,0.66667,0
420.5143,298.0377,68.4286,10.9186,57.51,3,0.36364,1.3636,0
320.8696,208.5643,61.4203,20.4787,40.9416,2,0,3.3333,0
313.3585,200.3404,84.8679,32.7347,52.1333,2,0.57143,1.2857,0
209.8011,154.6459,58.2431,29.45,28.7931,6,0.058824,2.9412,0
188.5361,148.9286,47.433,16.5736,30.8594,4,0.6875,1.125,0
239.3179,191.5818,64.2779,30.0736,34.2043,6,1.625,3.0417,0
221.1379,166.3047,48.5402,25.4593,23.0809,4,0,7,0
283.4737,155.0449,99.7895,12.1685,87.6209,1,0,2.0909,0
258.1793,220.4176,48.7724,13.5401,35.2323,5,0,5.1429,0
295.3874,223.5152,67.8919,32.2209,35.671,4,0.42857,5.8571,0
166.8099,118.0621,54.1653,19.1794,34.9859,2,1.4444,0.55556,0.11111
183.992,139.9104,43.5181,15.331,28.1871,6,0.05,0.75,0
238.8226,158.9075,70.6613,32.9404,37.7209,5,0,2,0
240.1489,150.6324,63.3511,22.1535,41.1976,4,0.19048,2.1905,0.095238
247.3275,179.779,60.6261,20.3395,40.2866,3,0.21053,1.1053,0
292.9485,215.7297,68.0825,20.3551,47.7274,5,0,0.83333,0
324.6977,219.3243,67.9535,10.2859,57.6676,4,0.33333,2,0
233.3761,163.5634,42.6239,13.5657,29.0581,4,0.8,9.5,0
241.3865,185.0312,63.7791,20.9955,42.7837,4,0,2,0
208.1834,161.4612,50.1834,14.9795,35.2039,6,0.65,2.75,0
593.7978,478,135.0112,64.916,70.0953,2,1.5,1.6,0.3
233.3131,167.0234,49.0091,2.7076,46.3015,6,0.375,0.25,0
412.1633,272.5714,86.6939,21.9158,64.7781,1,0.5,3.375,0
395.8596,227.5772,114.386,29.8228,84.5632,2,0,0.6,0
249.3175,178.6432,76.9194,23.3975,53.5219,3,0,1.3043,0
341.12,214.6555,76.14,20.0226,56.1174,2,0.21429,0.35714,0
351.0184,241.0441,78.1595,31.3296,46.8299,3,0.083333,0.91667,0
253.4924,167.6,77.4924,17.0158,60.4765,3,1.1111,0.94444,0.11111
367.9205,230.5532,96.2914,33.2505,63.0409,3,0.5,0.91667,0
271.3333,203.0108,58.4762,16.5038,41.9724,3,0.14286,1,0
251.7736,203.0571,42.3774,15.7272,26.6501,6,0,0,0
358.6781,198.8935,107.2446,36.2948,70.9499,1,0.1,0.25,0.2
237.7143,187.2098,52.5143,15.9579,36.5564,4,0.41176,1.7059,0
165.7065,127.8817,34.4674,7.124,27.3434,6,0,3.0769,0
241.3887,193.4692,60.6884,25.7438,34.9446,3,0.17647,0.76471,0
234.4667,152.2559,58.5067,34.7306,23.776,3,0,2.4667,0
226.417,149.8462,61.6254,15.603,46.0224,5,0.066667,0.53333,0
191.7714,159.9317,37.5365,11.1247,26.4118,6,0,1.75,0
240.5086,187.4549,52.313,14.93,37.383,6,0.047619,0.19048,0
313.4516,207.0423,85.8065,34.693,51.1134,4,0.125,0.875,0
249.384,191.1732,68.2869,15.2142,53.0727,3,0,0.84615,0
231.3774,159.4698,58.6615,21.5981,37.0634,4,1.3846,2.0769,0.69231
271.2741,199.6617,61.0222,20.1464,40.8759,5,0.53333,1.5333,0
158.0226,116.7162,44.8849,19.1691,25.7158,5,0,0.11765,0
252.2455,195.6152,53.6606,10.483,43.1777,2,0.28571,1.4286,0
207.4588,152.5125,49.7082,21.3006,28.4077,6,1.1364,3.8182,0
335.1489,238.1753,78.6553,26.5989,52.0564,3,0,1.7059,0
197.8469,143.4268,59.3878,20.4955,38.8922,5,0.23529,1.4118,0
233.5738,180.365,53.7814,24.4316,29.3498,6,0.22222,0.83333,0
319.2,232.5055,78.9913,42.0322,36.9591,6,0.25,0.625,0
211.962,172.0853,44.7215,14.818,29.9035,4,0.15385,2.8462,0.076923
231.9401,170.0324,57.3466,23.8554,33.4912,4,0.21053,2.0526,0.31579
292.1384,184.9815,73.8868,32.8582,41.0286,3,0.14286,1.6667,0.7619
203.7654,144.3724,58.4516,21.7344,36.7172,6,1.625,1.6875,0.25
455.7204,298.5714,70.3011,15.398,54.9031,1,0.11765,1.5882,0
281.649,158.0147,90.9551,10.1169,80.8382,4,0,0.0625,0
334.2775,182.7149,91.311,0.23084,91.0802,2,0,0.46667,0
286.5894,218.7254,60.8696,18.3754,42.4941,4,0.66667,2.9167,0
283.531,206.2832,62.0414,26.4096,35.6318,6,0,1.25,0
263.4758,218.4837,55.8974,23.8517,32.0458,4,0.16667,4.2778,0
275.5873,189.7021,71.5556,24.3737,47.1818,2,0.66667,2.8667,0.066667
340.1546,214.1922,85.6618,19.5753,66.0865,2,0.066667,0.73333,0
321.0652,232.4663,75.8414,22.42,53.4213,4,0.75,0.58333,0
383.7678,289.3996,83.1346,16.606,66.5286,4,0.43333,1.5667,0.033333
207.0857,160.6426,48.2597,14.6427,33.6171,5,0.52941,3.6471,0
243.1688,187.5301,53.4545,12.5732,40.8813,4,1.3333,1.6667,0
209.7375,168.5833,47.2125,16.3992,30.8133,6,0,2.1538,0.69231
669.322,446.5319,109.0508,3.2153,105.8355,2,0.13333,0,0
161.9862,128.976,41.1448,15.8471,25.2977,5,0,2.4,0
276.3912,184.3415,63.2555,1.5814,61.6741,4,0.5,1.05,0.05
422.4545,172.2514,123.6727,38.4959,85.1769,1,0.6087,0.43478,0
299.6387,210.6667,80.5419,44.7348,35.8071,3,0,0,0
208.4211,167.4673,53.5263,29.4022,24.1241,4,0.23077,4.8462,0
270.7376,205.2241,60.2411,18.0165,42.2247,5,0.4375,1.125,0.3125
259.8531,136.4912,67.2653,26.7365,40.5288,5,1.1333,2.1333,0
220.7636,157.5547,65.4061,25.1098,40.2963,5,0.125,2.8125,0
615.4717,343.6923,102.7925,30.1894,72.603,1,0,1.6667,0
